# Name,Therm,Z,Delta,P,mix
31,True,0.00012370237757775016,0.0016454199999999535,0.5847884782590985,0.2496362380501656
8,True,5.367997160322497e-09,0.0017749738872803488,0.5013309952679473,0.24959751203827252
5,True,0.06785592276380736,0.0017560400017655807,0.450881169193518,0.24652025738330932
72,True,0.030043565314179954,0.0015997899999989802,0.5431139219206903,0.24938277978912826
25,True,0.00011091853257116924,0.0017204599999999738,0.5554329903772292,0.24974169053008896
30,True,8.745449667468819e-05,0.0015996599999999422,0.5804597639268556,0.21032649079883234
15,True,0.07263135820217093,0.001448609999983983,0.48384696032307584,0.24981676490641241
29,True,0.00011297928969211668,0.0016129499999989654,0.5770052298286641,0.19909246156809274
68,True,0.033723594957766334,0.0016244499999999067,0.5571091033716058,0.2490055965060715
19,True,0.08789203328221173,0.001807299999999885,0.4776494696503593,0.248520574239706
49,True,0.05843976363202419,0.001675709999999832,0.525905709031737,0.24982202335971065
23,True,9.365843289232956e-05,0.0017016699999362918,0.5393257518848548,0.249684361252409
21,True,0.030883083276512124,0.001982889999999961,0.5090359316219284,0.20593793197830607
48,True,0.0461329895422713,0.001684209999999927,0.5283658811869824,0.24976862589563803
55,True,0.045449206661167744,0.0013844994612490756,0.5383652815920271,0.10457097130228263
12,True,0.08204326568601977,0.0019356165175508575,0.4490918089045264,0.24981638926943656
42,True,0.0426902704322174,0.001553609999999999,0.5315078447590786,0.24880593038393278
50,True,0.03818607753036307,0.0016843499999999797,0.5603232736873662,0.24923063196724948
27,True,0.00010598645681136887,0.001550769999999964,0.5829957645797194,0.24996968453448704
77,True,2.1215891076842297e-05,0.0017046399999997915,0.5288932710913637,0.20924314093253255
64,True,0.027380913391947814,0.0014673199999999528,0.5251871817807681,0.24993269513981434
69,True,0.02650251808145132,0.0016882599999999796,0.5594685883876601,0.24875305798547626
